Zboží;Poèet SVM;Kateg.zboží
1102445;0,000;C0113
1108000;0,000;C0113
1085628;0,000;C0113
1083787;0,000;C0105
1083786;0,000;C0113
1098931;0,000;C0105
1098930;0,000;C0105
1098929;0,000;C0105
1098928;0,000;C0105
1098927;0,000;C0105
1083785;0,000;C0105
1083784;0,000;C0105
1096236;0,000;C0105
1083783;0,000;C0105
1096244;0,000;C0105
1083782;0,000;C0105
1098926;0,000;C0105
1098925;0,000;C0113
1083781;0,000;C0113
1083780;0,000;C0105
1112165;0,000;C0113
1098924;0,000;C0113
1098936;0,000;C0105
1083779;0,000;C0105
1104137;0,000;C0105
1104135;0,000;C0113
1083778;0,000;C0105
1111668;0,000;C0113
1096232;0,000;C0113
1104138;0,000;C0113
1098923;0,000;C0113
1085627;0,000;C0105
1104139;0,000;C0113
1098922;0,000;C0105
1098921;0,000;C0105
1083777;0,000;C0105
1102456;0,000;C0105
1098935;0,000;C0105
1104141;0,000;C0105
1083775;0,000;C0105
1083776;0,000;C0105
1102451;0,000;C0113
1104143;0,000;C0113
1104142;0,000;C0113
1085626;0,000;C0105
1083774;0,000;C0113
1098920;0,000;C0113
1096230;0,000;C0113
1096231;0,000;C0113
1096229;0,000;C0105
1104136;0,000;C0113
1096228;0,000;C0113
1096227;0,000;C0113
1083773;0,000;C0113
1083772;0,000;C0113
1104146;0,000;C0105
1104144;0,000;C0113
1108202;0,000;C0113
1093554;0,000;C0113
1104145;0,000;C0105
1108203;0,000;C0113
1108204;0,000;C0113
1083771;0,000;C0105
1085625;0,000;C0105
1085624;0,000;C0113
1083770;0,000;C0113
1083769;0,000;C0113
1116099;0,000;C0113
1116098;0,000;C0113
1104985;0,000;C0113
1103303;0,000;C0113
1104153;0,000;C0105
1104152;0,000;C0113
1104151;0,000;C0105
1104150;0,000;C0113
1104148;0,000;C0113
1104147;0,000;C0105
1083768;0,000;C0105
1104134;0,000;C0113
1083767;0,000;C0113
1083766;0,000;C0105
1083765;0,000;C0105
1099399;0,000;C0113
1085623;0,000;C0113
1083764;0,000;C0113
1083763;0,000;C0113
1083762;0,000;C0113
1083761;0,000;C0105
1098919;0,000;C0105
1098918;0,000;C0113
1096235;0,000;C0113
1096234;0,000;C0113
1102642;0,000;C0113
1083760;0,000;C0105
1083759;0,000;C0105
1098917;0,000;C0105
1098916;0,000;C0113
1098915;0,000;C0105
1083758;0,000;C0105
1096233;0,000;C0113
1098914;0,000;C0105
1085622;0,000;C0105
1085621;0,000;C0113
1085620;0,000;C0105
1083757;0,000;C0105
1098561;0,000;B0205
1102633;0,000;C0113
1085619;0,000;C0113
1096226;0,000;C0113
1096225;0,000;C0113
1104149;0,000;C0105
1096224;0,000;C0113
1085618;0,000;C0105
1085617;0,000;C0105
1096223;0,000;C0113
1098913;0,000;C0105
1102635;0,000;C0113
1108859;0,000;C0113
1111642;0,000;C0103
1111637;0,000;C0103
1111636;0,000;C0103
1111641;0,000;C0103
1111639;0,000;C0103
1111638;0,000;C0103
1111640;0,000;C0103
1111635;0,000;C0103
1111634;0,000;C0103
1111633;0,000;C0103
1111631;0,000;C0103
1111632;0,000;C0103
1111630;0,000;C0103
1085613;0,000;C0103
1085611;0,000;C0103
1085610;0,000;C0103
1085609;0,000;C0103
1090653;0,000;C0103
1083748;0,000;C0103
1083747;0,000;C0103
1083746;0,000;C0103
1083741;0,000;C0103
1095542;0,000;C0103
1083739;0,000;C0103
1114568;0,000;C0103
1083736;0,000;C0103
1085387;0,000;C0103
1088658;0,000;C0103
1085982;0,000;C0109
1083734;0,000;C0106
1083733;0,000;C0106
1101700;0,000;C0103
1100824;0,000;C0103
1100825;0,000;C0103
1085607;0,000;C0103
1085606;0,000;C0103
1096362;0,000;C0103
1085605;0,000;C0103
1096361;0,000;C0103
1080464;0,000;B0205
1083729;0,000;C0104
1083727;0,000;C0112
1083726;0,000;C0104
1083724;0,000;C0112
1083723;0,000;C0112
1083722;0,000;C0112
1106146;0,000;C0112
1106145;0,000;C0112
