ZboûÌ;Model;Kr·t.text zboûÌ;Stav skladu;PoËet SVM;»·stka;Blokov·no;V kontrole jakosti;KÛd GTIN
1105481;RAC481PLLWW;HYUNDAI RAC481PLLWW;3;0,000;549,00;0,000;0,000;8592417054438
1105480;RAC481PLLBR;HYUNDAI RAC481PLLBR;3;0,000;549,00;0,000;0,000;8592417054421
1105479;RAC481PLLBO;HYUNDAI RAC481PLLBO;1;0,000;549,00;0,000;0,000;8592417054414
1096645;RAC213B;clockradio,LCD,Black;0,000;1;299,00;0,000;0,000;8592417030814
1095026;PR300PLLB;radio,LCD,FM/AM,Clock,Black;0,000;0,000;499,00;0,000;0,000;8592417035000
1088868;PR200S;kapesnÌ r·dio;3;0,000;449,00;0,000;0,000;8592417007601
1075821;M178PW;Muse M-178PW;0,000;0,000;669,00;0,000;0,000;3700460203542
1099609;M081R;Muse M-081R;0,000;0,000;659,00;0,000;0,000;3700460203313
1097584;KSC35BLACK;Grundig radiobudÌk;1;1;499,00;0,000;0,000;4013833874294
1079580;ICRP212BLACK;Ices r·diobudÌk,projekËnÌ;0,000;0,000;449,00;0,000;0,000;8711902027812
1079578;ICR200BLUE;Ices clock radio,LED,snooze;0,000;0,000;399,00;0,000;0,000;8711902024316
1093631;ICFS80;r·dio do sprchy,AM/FM,IPX4,hodiny;2;0,000;1249,00;0,000;0,000;4905524994681
1075892;ICFC1PJ.CED;ICFC1 ProjekËnÌ budÌk;3;0,000;1599,00;0,000;0,000;4905524960624
1106877;ICF-C1TR;ICF-C1TR r·diobudÌk;3;0,000;799,00;0,000;0,000;4548736019966
1096781;E0112R;E0112R BUDÕK RADIEM ÿÕZEN›;9;0,000;197,00;0,000;0,000;8595025397362
1063658;CR40;R·diobudÌk Thomson;1;0,000;399,00;0,000;0,000;3760102753088
1079572;CP300T;Thomson r·diobudÌk,projekËnÌ;2;0,000;949,00;0,000;0,000;3760102754528
1090341;CP280;Thomson r·diobudÌk,projekËnÌ;0,000;0,000;699,00;0,000;0,000;3760102753033
1051423;BD505R;Orava BD-505 R;1;0,000;459,00;0,000;0,000;8586006928293
1097644;AJ3400;r·diobudÌk,LCD,FM,du·lnÌ budÌk;0,000;0,000;649,00;0,000;0,000;8712581669348
1086216;AJ3200;r·diobudÌk,dock,FM,du·lnÌ budÌk;1;0,000;699,00;0,000;0,000;8712581704377
1096640;AC9282;radio,Snooze,White;1;0,000;299,00;0,000;0,000;8592417054124
1109746;TECHNIRADIO1;Technisat DAB r·dio,CZ menu;2;0,000;1490,00;0,000;0,000;4019588966406
1103644;DIGITRADIOGO;Technisat DAB r·dio;0,000;0,000;1399,00;0,000;0,000;4019588049581
1103650;DIGITRADIO450;Technisat DAB r·dio;0,000;0,000;7899,00;0,000;0,000;4019588149632
1103649;DIGITRADIO400;Technisat DAB r·dio;0,000;0,000;5999,00;0,000;0,000;4019588149625
1103651;DIGITRADIO250;Technisat DAB r·dio;1;1;1799,00;0,000;0,000;4019588684904
1103647;DIGITRADIO200;DAB r·dio;0,000;0,000;2199,00;0,000;0,000;4019588049536
1103646;DIGITRADIO100;DAB r·dio;3;0,000;2399,00;0,000;0,000;4019588049574
1097605;DDR31DAB;Sangean radio,DAB,FM,RDS,LCD;1;1;2497,00;0,000;0,000;4711317991429
1103645;DAB50;DAB r·dio DigitRadio50;0,000;0,000;1549,00;0,000;0,000;4019588049598
1103648;DAB300;DAB r·dio DigitRadio300;0,000;0,000;2999,00;0,000;0,000;4019588049543
1104253;DAB04;DAB r·dio;2;1;1399,00;0,000;0,000;3499550339338
1084320;PR200B;kapesnÌ r·dio;4;1;449,00;0,000;0,000;8592417007618
1103014;XS908BLUE;x-site bezdr·tov˝ reproduktor;2;0,000;499,00;0,000;0,000;8595065711302
1103013;XS908BLACK;x-site bezdr·tov˝ reproduktor;2;0,000;499,00;0,000;0,000;8595065711272
1079870;XS700;X-site bluetooth repro TWIST;0,000;0,000;699,00;0,000;0,000;8595065707435
1097613;UR20099ORANGE;Streetbeat Wireless reproduktor,Oranûov·;0,000;0,000;1399,00;0,000;0,000;8713439200997
1097593;UR20098BLUE;Urban Revolt BT reproduktor,modr·;0,000;0,000;1399,00;0,000;0,000;8713439200980
1086014;UR19855ORANGE;Trust p¯enosn˝ reproduktor,Oranûov˝;0,000;0,000;599,00;0,000;0,000;8713439198553
1108974;TRUST DIXXO;TRUST Dixxo Bluetooth Wireless Speaker;2;0,000;1999,00;0,000;0,000;8713439204193
1104724;TDKA25W;TDK A25 TREK BÕL›;0,000;0,000;1599,00;0,000;0,000;020356622237
1104723;TDKA25B;TDK A25 TREK »ERN›;2;0,000;1599,00;0,000;0,000;020356622220
